x,y,w,h,type,label
2178.0176901814834,6217.7183849244775,0,0,0,Meta-sed? Qtz-mica intergrowths
2974.906329120547,6262.322298452854,0,0,0,Ls or Lm? Looks like a siltstone but possibly with mica growth?
9550.331319502027,3477.8664343224896,0,0,0,Marble
10467.273040303935,2417.1560754073043,0,0,0,Phyllite or slate?
13292.67981434987,3740.234871019983,0,0,0,Qtz and calcite intergrowth?
17835.548105581074,6024.0594848368355,0,0,0,Chert or Qp? Or Ls?
16382.902809658513,8731.504593096559,0,0,0,Slate or phyllite?
